单词,读法,词类,翻译,音调,默写
本,ほん,名,书,1,本
かばん,かばん,名,包，公文包,0,かばん
ノート,ノート,名,笔记本，本子,1,ノート
鉛筆,えんぴつ,名,铅笔,0,鉛筆
傘,かさ,名,伞,1,傘
靴,くつ,名,鞋,2,靴
新聞,しんぶん,名,报纸,0,新聞
雑誌,ざっし,名,杂志,0,雑誌
辞書,じしょ,名,词典,1,辞書
カメラ,カメラ,名,照相机,1,カメラ
テレビ,テレビ,名,电视机,1,テレビ
パソコン,パソコン,名,个人电脑,0,パソコン
ラジオ,ラジオ,名,收音机,1,ラジオ
電話,でんわ,名,电话,0,電話
机,つくえ,名,桌子，书桌,0,机
いす,いす,名,椅子,0,椅子
鍵,かぎ,名,钥匙，锁,2,鍵
時計,とけい,名,钟表,0,時計
手帳,てちょう,名,记事本,0,手帳
写真,しゃしん,名,照片,0,写真
車,くるま,名,车,0,車
自転車,じてんしゃ,名,自行车,0,自転車
お土産,おみやげ,名,礼物,0,お土産
名産品,めいさんひん,名,特产，名产,0,名産品
シルク,シルク,名,丝绸,1,シルク
ハンカチ,ハンカチ,名,手绢,0,ハンカチ
会社,かいしゃ,名,公司,0,会社
方,かた,名,（敬称）位，人,2,方
人,ひと,名,人,0,人
家族,かぞく,名,家族，家人,1,家族
母,はは,名,（我）母亲,1,母
お母さん,おかあさん,名,母亲,2,お母さん
日本語,にほんご,名,日语,0,日本語
中国語,ちゅうごくご,名,汉语，中文,0,中国語
これ,これ,代,这，这个,0,これ
それ,それ,代,那，那个,0,それ
あれ,あれ,代,那，那个,0,あれ
どれ,どれ,疑,哪个,1,どれ
何,なん,疑,什么,1,何
誰,だれ,疑,谁,1,誰
どなた,どなた,疑,哪位,1,どなた
この,この,连体,这，这个,0,この
その,その,连体,那，那个,0,その
あの,あの,连体,那，那个,0,あの
どの,どの,连体,哪个,1,どの
えっ,えっ,叹,啊,0,えっ
わあ,わあ,叹,哇,1,わあ
ええ,ええ,叹,嗯，是,1,ええ
長島,ながしま,专,长岛,0,長島
日本,にほん,专,日本,2,日本
スワトウ,スワトウ,专,汕头,2,スワトウ
ロンドン,ロンドン,专,伦敦,1,ロンドン
ありがとうございます,ありがとうございます,,谢谢,,ありがとうございます
おいくつ,おいくつ,,（敬）多大年纪,0,おいくつ
何歳、～歳,なんさい、～さい,,几岁、~岁,,何歳、～歳
